source_id,variable_name,feature_group,source_name,nuts_level,reference_year,access_method,license,null_rate_estimate,update_frequency,is_data_gap,gap_severity,types_served,status
upstream_gold,nuts2_name,upstream,EU-Innovation-Panel Gold Layer,2,2019-2022,parquet_upstream,Eurostat / OECD — see EU-Innovation-Panel data catalog,0.0,annual,False,,,available
upstream_gold,country_code,upstream,EU-Innovation-Panel Gold Layer,2,2019-2022,parquet_upstream,Eurostat / OECD — see EU-Innovation-Panel data catalog,0.0,annual,False,,,available
upstream_gold,gdp_per_capita_pps,upstream,EU-Innovation-Panel Gold Layer,2,2019-2022,parquet_upstream,Eurostat / OECD — see EU-Innovation-Panel data catalog,0.0,annual,False,,"T1,T2,T3,T4,T5,T6,T7,T8",available
upstream_gold,population,upstream,EU-Innovation-Panel Gold Layer,2,2019-2022,parquet_upstream,Eurostat / OECD — see EU-Innovation-Panel data catalog,0.0,annual,False,,,available
upstream_gold,hrst_per_1000,upstream,EU-Innovation-Panel Gold Layer,2,2019-2022,parquet_upstream,Eurostat / OECD — see EU-Innovation-Panel data catalog,0.0,annual,False,,"T1,T2,T3,T7,T8",available
upstream_gold,tertiary_enrolment_rate,upstream,EU-Innovation-Panel Gold Layer,2,2019-2022,parquet_upstream,Eurostat / OECD — see EU-Innovation-Panel data catalog,0.0,annual,False,,"T1,T2,T7,T8",available
upstream_gold,employment_rate,upstream,EU-Innovation-Panel Gold Layer,2,2019-2022,parquet_upstream,Eurostat / OECD — see EU-Innovation-Panel data catalog,0.0,annual,False,,"T1,T2,T3,T4,T5,T6,T7,T8",available
upstream_gold,broadband_penetration_pct,upstream,EU-Innovation-Panel Gold Layer,2,2019-2022,parquet_upstream,Eurostat / OECD — see EU-Innovation-Panel data catalog,0.0,annual,False,,"T1,T5,T8",available
upstream_gold,rd_expenditure_pct_gdp,upstream,EU-Innovation-Panel Gold Layer,2,2019-2022,parquet_upstream,Eurostat / OECD — see EU-Innovation-Panel data catalog,0.0,annual,False,,"T1,T2,T3,T4,T6,T7,T8",available
upstream_gold,business_rd_pct_gdp,upstream,EU-Innovation-Panel Gold Layer,2,2019-2022,parquet_upstream,Eurostat / OECD — see EU-Innovation-Panel data catalog,0.0,annual,False,,"T1,T2,T3,T4,T6,T7,T8",available
